brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
ASUS,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,45990,4,816,147
Lenovo,Intel,Core i3,10.0,8,DDR4,256,0,Windows,64,0,Casual,2,No,Yes,39999,5,4,0
DELL,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,42990,4,17,2
DELL,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,No,49990,4,24,5
DELL,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,41490,4,1753,165
DELL,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,41990,4,216,21
Lenovo,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,41990,4,1084,160
ASUS,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,38490,3,19,3
Lenovo,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,38990,4,106,13
Lenovo,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,44990,4,42,4
Lenovo,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,36490,3,0,0
Lenovo,Intel,Core i3,10.0,8,DDR4,256,0,Windows,32,0,Casual,0,No,No,38970,3,0,0
HP,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,44900,4,1029,107
MSI,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,38990,4,53,11
DELL,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,44427,3,0,0
ASUS,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,35990,3,0,0
Lenovo,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,40200,3,48,1
Lenovo,Intel,Core i3,10.0,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,40990,3,3,0
DELL,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,42490,3,0,0
acer,Intel,Celeron Dual,,4,DDR4,0,512,Windows,32,0,Casual,0,No,No,23990,3,61,4
DELL,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,Casual,0,Yes,No,71999,4,97,13
ASUS,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,39990,4,181,19
Lenovo,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,41998,4,529,39
ASUS,Intel,Core i3,11.0,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,41990,3,0,0
Lenovo,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,Casual,2,No,Yes,39999,3,0,0
ASUS,Intel,Core i3,10.0,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,39990,3,0,0
Lenovo,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,Casual,0,No,No,39998,4,10,1
HP,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,42490,4,5205,561
Lenovo,Intel,Core i3,10.0,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,41990,3,3,0
ASUS,Intel,Core i3,11.0,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,48490,3,0,0
HP,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,44376,4,1090,96
DELL,Intel,Core i3,11.0,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,43900,3,0,0
DELL,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,46690,3,0,0
Lenovo,Intel,Core i3,10.0,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,40990,5,1,1
DELL,Intel,Core i3,10.0,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,39990,4,44,2
Lenovo,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,43990,3,0,0
ASUS,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,36990,4,70,9
DELL,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,48500,3,0,0
ASUS,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,0,No,No,48990,3,0,0
ASUS,Intel,Celeron Dual,,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,23490,4,632,92
HP,Intel,Core i3,8.0,4,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,54238,4,71,8
ASUS,Intel,Core i3,10.0,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,37990,4,990,108
HP,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,42990,4,158,18
HP,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,42990,4,681,59
ASUS,Intel,Core i3,10.0,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,35990,4,130,12
ASUS,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,42990,4,30,4
ASUS,Intel,Core i3,11.0,8,LPDDR4X,512,0,Windows,32,0,Casual,1,Yes,Yes,51990,4,6,2
ASUS,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,48990,4,174,30
ASUS,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,42990,4,40,7
Lenovo,Intel,Core i3,10.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,38990,3,13,1
DELL,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,45990,4,184,29
HP,Intel,Core i3,10.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,42490,4,1296,126
HP,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,43970,4,571,56
ASUS,Intel,Core i3,10.0,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,39990,4,2551,297
MSI,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,48990,4,17,3
HP,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,Casual,1,No,Yes,54990,4,35,3
MSI,Intel,Core i3,10.0,8,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,40990,4,118,17
ASUS,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,41990,3,0,0
Lenovo,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,Yes,No,54990,4,245,34
ASUS,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,Casual,1,No,Yes,44990,4,2058,305
HP,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,41250,4,117,11
HP,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,44990,3,0,0
ASUS,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,42990,4,74,11
DELL,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,Casual,1,Yes,No,60790,4,10,1
HP,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,Casual,0,No,No,45650,4,39,4
DELL,Intel,Core i3,10.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,41990,3,29,7
DELL,Intel,Core i3,10.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,45490,4,43,4
ASUS,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,44990,3,0,0
Lenovo,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,2,No,Yes,42990,4,984,99
HP,Intel,Core i3,11.0,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,45490,4,523,66
HP,Intel,Core i3,10.0,4,DDR4,512,0,Windows,32,0,Casual,0,No,No,38799,4,30,1
HP,Intel,Core i3,11.0,4,DDR4,512,0,Windows,64,0,Casual,1,Yes,Yes,69267,3,0,0
ASUS,Intel,Core i3,11.0,4,DDR4,512,0,Windows,64,0,Casual,1,No,Yes,51649,3,0,0
HP,Intel,Core i3,11.0,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,47990,4,1605,215
ASUS,Intel,Core i3,10.0,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,40990,4,4008,519
ASUS,Intel,Core i3,10.0,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,42990,4,1869,234
ASUS,Intel,Core i3,11.0,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,44890,3,7,0
ASUS,Intel,Core i3,10.0,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,41490,4,4008,519
HP,Intel,Core i3,11.0,4,DDR4,512,0,Windows,32,0,ThinNlight,1,No,No,50990,3,0,0
HP,Intel,Core i3,11.0,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,48900,4,1278,135
ASUS,Intel,Core i3,10.0,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,40990,4,4008,519
DELL,Intel,Core i3,10.0,4,DDR4,512,0,Windows,64,0,Casual,0,No,No,41790,3,0,0
Lenovo,Intel,Core i3,11.0,4,DDR4,512,0,Windows,64,0,Casual,1,Yes,Yes,57999,3,10,2
DELL,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,45930,3,0,0
HP,Intel,Core i3,11.0,8,DDR4,512,0,Windows,64,0,Casual,1,Yes,Yes,55490,4,143,15
ASUS,Intel,Core i3,10.0,8,DDR4,0,1024,Windows,64,0,Casual,1,No,No,32890,3,28,4
Lenovo,Intel,Core i3,10.0,8,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,35990,4,2124,233
DELL,Intel,Core i3,11.0,8,DDR4,0,1024,Windows,64,0,ThinNlight,0,No,No,42490,4,276,40
DELL,Intel,Core i3,11.0,8,DDR4,0,1024,Windows,64,0,ThinNlight,0,No,No,42190,3,250,21
DELL,Intel,Core i3,10.0,8,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,39490,4,1917,189
HP,Intel,Core i3,11.0,8,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,43690,4,4999,490
ASUS,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,Casual,1,No,No,35990,3,17,0
DELL,Intel,Core i3,11.0,8,DDR4,0,1024,Windows,32,0,Casual,0,No,No,43800,4,17,0
Lenovo,Intel,Core i3,10.0,8,DDR4,0,1024,Windows,32,0,Casual,0,No,No,38990,3,0,0
ASUS,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,No,34990,3,4203,490
ASUS,Intel,Core i3,11.0,8,DDR4,0,1024,Windows,64,0,Casual,1,No,No,38900,3,13,0
DELL,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,No,39990,3,15,1
DELL,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,32,0,Casual,0,No,No,40890,4,527,46
Lenovo,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,No,36990,3,103,10
HP,Intel,Core i3,11.0,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,39990,3,324,45
HP,Intel,Core i3,11.0,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,41990,4,69,5
DELL,Intel,Core i3,11.0,4,DDR4,0,1024,Windows,32,0,Casual,0,No,No,43970,3,16,0
HP,Intel,Core i3,11.0,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,No,39790,3,40,3
ASUS,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,32,0,ThinNlight,0,No,No,35590,3,12,1
HP,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,36490,3,1146,175
ASUS,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,38990,4,1850,216
ASUS,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,32,0,ThinNlight,0,No,No,33990,3,43,7
DELL,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,Casual,1,No,Yes,43400,4,231,26
ASUS,Intel,Celeron Dual,,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,24990,4,502,93
HP,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,40750,4,1096,116
DELL,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,43000,4,313,35
ASUS,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,38000,4,7,0
DELL,Intel,Core i3,11.0,8,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,37990,3,265,46
HP,Intel,Core i3,7.0,8,DDR4,0,1024,Windows,64,2,Casual,0,No,No,49279,4,38,3
Lenovo,Intel,Core i3,10.0,8,DDR4,0,1024,Windows,32,0,Casual,0,No,No,38999,3,7,2
ASUS,Intel,Core i3,11.0,8,DDR4,0,1024,Windows,32,0,Casual,0,No,No,41500,3,4,0
acer,Intel,Core i3,11.0,4,DDR4,0,1024,Windows,32,0,Casual,0,No,No,36999,3,0,0
DELL,Intel,Core i3,11.0,8,DDR4,0,1024,Windows,32,0,Casual,0,No,No,42900,3,0,0
ASUS,Intel,Celeron Dual,,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,21490,3,818,113
DELL,Intel,Core i3,11.0,8,DDR4,0,1024,Windows,32,0,Casual,0,No,No,41480,3,25,4
ASUS,Intel,Core i3,10.0,8,DDR4,0,1024,Windows,64,0,Casual,0,No,No,32990,2,12,0
ASUS,Intel,Core i3,11.0,8,DDR4,0,1024,Windows,64,0,Casual,1,No,No,38680,3,17,1
ASUS,Intel,Celeron Dual,,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,23990,4,974,170
DELL,Intel,Core i3,10.0,8,DDR4,0,1024,Windows,64,0,ThinNlight,0,No,No,40390,3,83,15
ASUS,Intel,Core i3,10.0,4,DDR4,0,1024,Windows,64,0,ThinNlight,0,No,No,33990,3,31,6
ASUS,Intel,Celeron Dual,,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,20490,3,637,91
DELL,Intel,Core i3,10.0,8,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,41490,5,7,5
DELL,Intel,Core i3,11.0,8,DDR4,256,1024,Windows,64,0,Casual,0,No,No,45490,4,207,16
DELL,Intel,Core i3,11.0,8,DDR4,256,1024,Windows,64,0,Casual,0,No,No,44490,4,844,103
ASUS,Intel,Core i3,11.0,8,DDR4,256,1024,Windows,64,0,Casual,1,No,Yes,41890,4,53,6
DELL,Intel,Core i3,11.0,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,42990,4,62,7
acer,Intel,Core i3,11.0,8,DDR4,256,1024,Windows,64,0,Casual,0,No,No,40990,4,38,2
DELL,Intel,Core i3,11.0,8,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,No,48990,4,724,92
DELL,Intel,Core i3,11.0,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,43590,3,0,0
DELL,Intel,Core i3,10.0,4,DDR4,256,1024,Windows,64,0,Casual,1,No,No,44690,4,9,0
ASUS,Intel,Core i3,10.0,4,DDR4,256,1024,Windows,64,0,Casual,0,No,No,40990,3,0,0
DELL,Intel,Core i3,11.0,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,43990,3,0,0
DELL,Intel,Core i3,11.0,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,43590,3,0,0
DELL,Intel,Core i3,10.0,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,41390,4,56,7
DELL,Intel,Core i3,10.0,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,44290,3,0,0
DELL,Intel,Core i3,11.0,4,DDR4,256,1024,Windows,64,0,Casual,1,No,No,48999,3,0,0
DELL,Intel,Core i3,11.0,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,39990,3,170,11
DELL,Intel,Core i3,10.0,8,DDR4,256,1024,Windows,64,0,ThinNlight,0,No,No,46390,2,95,5
ASUS,Intel,Celeron Dual,,4,LPDDR4,0,512,Windows,64,0,Casual,0,No,No,18990,3,197,25
ASUS,Intel,Celeron Dual,,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,17990,3,1180,148
HP,Intel,Celeron Dual,,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,26470,3,232,23
HP,Intel,Celeron Dual,,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,27990,3,596,65
Lenovo,Intel,Celeron Dual,,4,DDR4,0,1024,Windows,32,0,Casual,0,No,No,29999,3,19,1
Lenovo,Intel,Celeron Dual,,4,LPDDR4X,0,512,Windows,64,0,Casual,0,No,No,25990,3,84,16
Lenovo,Intel,Celeron Dual,,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,16990,3,414,54
Lenovo,Intel,Celeron Dual,,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,24990,2,70,16
acer,Intel,Core i5,,8,DDR5,0,512,Windows,32,4,Casual,0,No,No,50990,4,10966,1185
acer,Intel,Core i5,,8,LPDDR4,0,512,Windows,32,0,Casual,1,No,No,119990,4,1,1
acer,Intel,Core i5,10.0,8,LPDDR4,0,512,DOS,32,0,Casual,0,No,No,94190,4,31,6
ASUS,Intel,Core i5,10.0,8,LPDDR4,0,512,DOS,32,4,Casual,0,No,No,106167,4,1881,241
DELL,Intel,Core i5,10.0,8,LPDDR4,0,512,DOS,32,4,Casual,1,No,No,68090,1,23,4
DELL,Intel,Core i5,10.0,8,LPDDR4,0,512,DOS,32,0,ThinNlight,1,No,No,139990,3,0,0
HP,Intel,Core i5,10.0,8,LPDDR4,0,512,DOS,32,0,ThinNlight,0,No,No,55990,4,818,109
HP,Intel,Core i5,10.0,8,LPDDR4,0,512,DOS,32,4,Casual,0,No,No,102551,3,0,0
Lenovo,Intel,Core i5,10.0,8,LPDDR4,0,512,DOS,32,2,Casual,0,No,No,46990,4,4428,569
HP,Intel,Core i5,8.0,8,DDR4,128,0,Windows,64,0,ThinNlight,1,No,No,76012,4,129,16
Lenovo,Intel,Core i5,11.0,8,DDR4,256,0,Windows,64,0,Casual,2,No,Yes,49490,4,365,35
acer,Intel,Core i5,7.0,8,DDR3,256,0,Windows,64,0,ThinNlight,1,No,Yes,86867,4,39,3
ASUS,Intel,Core i5,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,48990,3,0,0
DELL,Intel,Core i5,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,55990,3,3,0
acer,Intel,Core i5,8.0,8,DDR3,256,0,Windows,64,0,ThinNlight,1,Yes,Yes,81998,4,14,3
HP,Intel,Core i5,8.0,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,136590,3,0,0
acer,Intel,Core i5,8.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,59490,3,33,7
ASUS,Intel,Core i5,11.0,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,49800,3,0,0
Lenovo,Intel,Core i5,11.0,8,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,61999,2,4,0
HP,Intel,Core i5,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,54990,4,116,15
HP,Intel,Core i5,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,53990,4,206,17
Lenovo,Intel,Core i5,11.0,8,DDR4,512,0,Windows,64,0,Casual,2,No,Yes,52990,4,300,24
HP,Intel,Core i5,11.0,16,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,67990,4,108,6
ASUS,Intel,Core i5,10.0,8,DDR4,512,0,Windows,64,4,Gaming,1,No,No,57990,4,3712,412
Lenovo,Intel,Core i5,11.0,16,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,62300,4,825,95
Lenovo,Intel,Core i5,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,52990,3,0,0
Lenovo,Intel,Core i5,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,2,No,Yes,51990,4,85,4
Lenovo,Intel,Core i5,11.0,16,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,61990,4,56,7
ASUS,Intel,Core i5,11.0,8,LPDDR4X,512,0,Windows,32,0,Casual,1,Yes,Yes,63990,4,10,1
Lenovo,Intel,Core i5,11.0,8,DDR4,512,0,Windows,64,0,Casual,1,No,Yes,65990,4,17,4
acer,Intel,Core i5,11.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,52990,4,155,20
Lenovo,Intel,Core i5,10.0,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,49990,3,0,0
ASUS,Intel,Core i5,11.0,8,DDR4,512,0,Windows,64,4,Gaming,0,No,No,71990,4,91,17
ASUS,Intel,Core i5,10.0,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,47990,4,35,2
Lenovo,Intel,Core i5,10.0,8,DDR4,512,0,Windows,32,0,ThinNlight,2,No,Yes,48490,4,126,13
ASUS,Intel,Core i5,11.0,8,DDR4,512,0,Windows,64,4,Gaming,0,No,No,72990,4,74,10
MSI,Intel,Core i5,11.0,16,DDR4,512,0,Windows,64,4,Casual,2,No,No,76990,4,75,17
ASUS,Intel,Core i5,11.0,16,DDR4,512,0,Windows,64,6,Gaming,1,No,Yes,89990,4,124,17
MSI,Intel,Core i5,10.0,8,DDR4,512,0,Windows,64,4,Casual,2,No,No,59990,4,1597,228
ASUS,Intel,Core i5,10.0,8,DDR4,512,0,Windows,64,4,Gaming,1,No,Yes,65990,4,3850,378
DELL,Intel,Core i5,11.0,8,DDR4,512,0,Windows,64,0,Casual,0,Yes,No,71990,4,7,1
