Street,City,Area_detail,Rooms,Bathrooms,Parking_spaces,Price,Is_mensal,Neighborhood
Rua Camberra,São Paulo,256,4,3,1,1063830,False,Vila Formosa
,São Paulo,220,4,3,2,750000,False,Vila Moinho Velho
Rua Marechal,do,360,4,5,4,1800000,False,
,São Paulo,354,4,6,4,2950000,False,Jardim Guedala
Rua Pero Correia,São Paulo,250,3,3,1,1350000,False,Vila Mariana
Avenida Ouro Verde de Minas,São Paulo,186,3,3,2,750000,False,Jardim Imperador
Rodovia Vereador Abel Fabricio Dias,Pindamonhangaba,44,2,1,2,180000,False,Vila São Benedito
Rua Inglaterra,São Paulo,756,5,4,10,37000000,False,Jardim Europa
Avenida Ibiúna,São Paulo,500,4,3,4,1200000,False,Vila Aricanduva
,São Paulo,400,5,6,4,2500000,False,Brooklin Paulista
,São Paulo,627,3,6,6,4950000,False,Sumaré
Rua Coronel Octávio Azeredo,São Paulo,80,3,1,2,420000,False,Vila Mazzei
Rua Drosera,São Paulo,190,3,2,4,920000,False,Pirituba
,São Paulo,1060,5,5,4,30000000,False,Jardim Paulista
Rua Timbó,São Paulo,170,3,2,2,940000,False,Mooca
Rua Prudentópolis,São Paulo,1192,4,3,6,6200000,False,Boaçava
,São Paulo,200,4,3,1,550000,False,Vila Gustavo
Rua José Clemente,São Paulo,724,4,6,3,8000000,False,Jardim Paulista
Rua Araripe,São Paulo,300,6,3,2,430000,False,Vila Califórnia
Rua Lavras do Sul,São Paulo,120,4,3,2,650000,False,Vila Carolina
Rua Marco Aurélio,São Paulo,160,3,4,2,940000,False,Vila Romana
Alameda dos Guainumbis,São Paulo,200,4,6,3,2014000,False,Planalto Paulista
Avenida Júlio Buono,São Paulo,217,5,3,2,670000,False,Vila Gustavo
Rua Monsenhor Moura,São Paulo,167,2,2,2,820000,False,Vila Leopoldina
Rua dos Tamanás,São Paulo,440,4,5,4,3950000,False,Vila Madalena
Praça Doutor Carvalho Franco,São Paulo,250,3,5,2,2450000,False,Vila Mariana
Rua Maria Ramos,São Paulo,250,5,6,2,486000,False,Vila São Paulo
Rua Kansas,São Paulo,70,2,4,2,800000,False,Brooklin Paulista
Rua Engenheiro Dolabela,São Paulo,455,4,5,3,680000,False,Jardim Bandeirantes
Rua Francisco Bellazzi,São Paulo,80,2,1,1,245000,False,Jardim Jaraguá
Rua Gonçalo Pires,São Paulo,125,3,3,1,610000,False,Vila Morse
Rua Cautaros,São Paulo,185,3,5,5,460000,False,Itaquera
Avenida Avelino Paranho,São Paulo,250,5,3,5,850000,False,Vila Talarico
Rua Manoel João Pereira,São Paulo,131,3,2,2,540000,False,Vila Matilde
Rua Getúlio Vargas Filho,São Paulo,114,3,4,2,550000,False,Cidade Vargas
Rua Bernardo Vieira,São Paulo,104,1,1,1,270000,False,Vila Laís
Rua Marechal Bina Machado,São Paulo,360,4,5,4,1750000,False,Jardim Marajoara
Rua Doutor Augusto de Miranda,São Paulo,98,3,3,1,1050000,False,Vila Pompéia
Alameda dos Ciprestes,São Paulo,351,4,4,4,3480000,False,Chácara Santo Antônio
Rua José Clemente,São Paulo,700,4,5,4,7900000,False,Jardim Paulista
Rua Laplace,São Paulo,300,3,5,4,2400000,False,Brooklin Paulista
,São Paulo,125,3,4,3,800000,False,Jardim Trussardi
Rua Aquiramun,São Paulo,450,5,6,5,5500000,False,Alto de Pinheiros
,São Paulo,534,5,6,5,4500000,False,Vila Madalena
,São Paulo,340,4,6,3,3000000,False,Jardim dos Estados
Rua Rússia,São Paulo,200,3,3,2,2700000,False,Jardim Europa
Rua Oscar Pinheiro Coelho,São Paulo,110,2,1,3,620000,False,Caxingui
Rua Tagipuru,São Paulo,170,4,3,2,1600000,False,Barra Funda
Rua Américo Brasiliense,São Paulo,340,4,6,7,2200000,False,Alto da Boa Vista
Rua Catão,São Paulo,235,3,4,3,1280000,False,Vila Romana
,São Paulo,114,3,1,3,510000,False,Vila Santos
Rua Conchilia,São Paulo,300,4,6,4,1600000,False,Vila Albertina
Rua Antônio Barbosa de Oliveira,São Paulo,571,3,2,3,987000,False,Vila João Batista
Rua João Pereira Santos,São Paulo,57,3,1,5,350000,False,Jardim Nova Germania
Rua Monte Cardoso,São Paulo,150,3,2,2,600000,False,Vila Antonieta
,São Paulo,693,4,5,6,16000000,False,Jardim Europa
Rua Fonseca da Costa,São Paulo,650,4,6,12,11000,True,Bosque da Saúde
Rua Prisciliana Duarte,São Paulo,257,3,4,4,1600000,False,Jardim da Saúde
Rua Agostinho da Mota,São Paulo,140,3,4,4,900000,False,Chácara Santo Antônio
,São Paulo,299,4,5,3,2140000,False,Butantã
Rua Professor João Marinho,São Paulo,170,3,4,2,1490000,False,Vila Mariana
,São Paulo,230,2,3,2,12000,True,Jardim Paulistano
Rua Pereira Caldas,São Paulo,200,3,2,2,1000000,False,Jardim da Glória
Rua Princesa Leopoldina,São Paulo,100,2,2,1,940000,False,Alto da Lapa
,São Paulo,243,5,4,2,1390000,False,Jardim Petrópolis
,São Paulo,228,4,5,3,2200000,False,Vila Mariana
Avenida Moaci,São Paulo,420,5,7,6,1900000,False,Planalto Paulista
,São Paulo,168,3,1,2,621000,False,Vila Aparecida
,São Paulo,300,3,3,3,1300000,False,Siciliano
Estrada Velha da Penha,São Paulo,110,2,1,2,450000,False,Tatuapé
Rua Bernardo Alvarenga,São Paulo,350,3,4,2,1969000,False,Caxingui
Rua Doutor Antônio Gontijo de Carvalho,São Paulo,1200,6,7,8,6360000,False,Jardim Cordeiro
Rua Judith,São Paulo,146,3,2,2,1550000,False,Vila Madalena
Rua Catão,São Paulo,130,2,2,1,688000,False,Vila Romana
,São Paulo,170,4,5,6,1700000,False,Alto da Lapa
Rua Manuel Francisco Alves,São Paulo,232,8,3,1,500000,False,Parque Casa de Pedra
Rua Luís Dib Zogaib,São Paulo,443,4,6,8,1800000,False,Morumbi
Rua Pamplona,São Paulo,156,4,4,2,2340000,False,Jardim Paulista
Rua Alexandre Von Humboldt,São Paulo,250,4,4,3,580000,False,Praia Azul
Rua Boiçununga,São Paulo,200,3,3,2,570000,False,São João Clímaco
Rua Maestro Elias Lobo,São Paulo,542,5,8,4,25000,True,Jardim Paulista
Rua Doutor Valentino Sola,São Paulo,231,4,5,6,1650000,False,Jardim da Glória
,São Paulo,420,3,6,5,3500000,False,Jardim Guedala
Rua Guararapes,São Paulo,515,3,5,8,30000,True,Lapa
Rua Serenata,São Paulo,140,3,3,2,490000,False,Vila Prudente
Rua Eduardo da Silva Magalhães,São Paulo,350,5,7,7,2500000,False,Parque Continental
Rua João Pedro,São Paulo,120,3,3,3,500000,False,Capela do Socorro
Rua Alvarenga,São Paulo,400,4,3,4,10000,True,Butantã
,São Paulo,361,4,6,5,1490000,False,Planalto Paulista
Rua Otávio Tarquínio de Sousa,São Paulo,160,3,4,2,4500,True,Campo Belo
Rua Quirino Pucca,São Paulo,65,1,1,2,480000,False,Vila Romana
Rua Guira,Guainumbi,180,4,2,1,300000,False,
Rua Teviot,São Paulo,363,4,6,4,5100000,False,Vila Nova Conceição
,São Paulo,431,4,5,5,30000,True,Jardim Guedala
Rua Coronel Melo de Oliveira,São Paulo,184,3,3,2,1272000,False,Perdizes
,São Paulo,230,3,3,4,1500000,False,Jardim da Glória
,São Paulo,1800,3,5,6,80000,True,Morumbi
,São Paulo,437,3,5,5,1850000,False,Vila Ida
Rua Amélia da Silveira,São Paulo,176,3,4,2,620000,False,Jardim Vivan
Rua Alberto Lohnhoff,São Paulo,88,3,3,1,455000,False,Lauzane Paulista
Rua Itália,São Paulo,713,5,7,6,26600000,False,Jardim Europa
Rua Constantino de Sousa,São Paulo,266,6,6,6,1750000,False,Campo Belo
Rua José Ubaldo Lomônaco,São Paulo,430,5,6,4,3150000,False,Jardim da Glória
Rua Bolívia,São Paulo,1060,4,5,9,11489000,False,Jardim América
Rua Faustino Augusto César,São Paulo,180,3,3,3,850000,False,Vila Marari
Rua Major Newton de Feliciano,São Paulo,480,4,6,6,25000,True,Jardim Aurélia
,São Paulo,600,4,6,4,2200000,False,Cidade Jardim
Rua dos Macunis,São Paulo,180,4,4,4,2400000,False,Vila Madalena
Rua Vergueiro,São Paulo,113,3,2,2,570000,False,Cursino
,São Paulo,497,3,4,8,1300000,False,Cidade Dutra
Rua Joaquim Lima de Moraes,São Paulo,224,3,4,2,1500000,False,Santo Amaro
Rua Jorge Fares,São Paulo,127,3,1,2,540000,False,Jardim São Luís
,São Paulo,190,3,4,4,750000,False,Água Fria
,São Paulo,60,2,5,1,251000,False,Parque Boturussu
,São Paulo,124,4,3,1,595000,False,Belenzinho
Rua Antônio Sales de Camargo,São Paulo,118,4,5,3,960000,False,Bosque da Saúde
Rua Croata,São Paulo,358,3,4,4,2160000,False,Vila Ipojuca
,São Paulo,480,3,5,4,7000,True,Vila Sônia
Rua Emílio Pedutti,São Paulo,546,4,7,6,3290000,False,Morumbi
Rua Açaré,São Paulo,252,3,5,4,2900000,False,Alto de Pinheiros
,São Paulo,293,3,5,4,3650000,False,Vila Ida
,São Paulo,639,4,8,4,3600000,False,Jardim Panorama
,São Paulo,160,3,4,3,860000,False,Jardim Ampliação
Rua Cristiano Viana,São Paulo,155,3,1,1,1300000,False,Cerqueira César
,São Paulo,80,2,1,2,374500,False,Lauzane Paulista
,São Paulo,1000,5,5,8,40000,True,Cidade Jardim
Rua Aguaçaí,São Paulo,180,3,4,1,750000,False,Pari
Rua Muller Carioba,São Paulo,230,3,2,3,660000,False,Jardim da Saúde
Rua Olímpia Lemes da Silva,São Paulo,260,3,3,2,940000,False,Jardim das Vertentes
,São Paulo,500,8,5,1,990000,False,Vila Sabrina
Rua Frederico Von Martius,São Paulo,300,3,5,2,1350000,False,Ipiranga
Rua Banibás,São Paulo,297,4,5,4,15500,True,Alto de Pinheiros
,São Paulo,360,3,5,4,4950000,False,Alto de Pinheiros
,São Paulo,120,3,4,2,1550000,False,Vila Olímpia
Rua Doutora Maria Augusta Saraiva,São Paulo,120,3,2,2,1550000,False,Vila Olímpia
Rua Doutor Fausto de Almeida Prado Penteado,São Paulo,1643,4,5,10,4500000,False,Jardim Sílvia
,São Paulo,381,4,4,6,1250000,False,Jardim Franca
Rua Banibás,São Paulo,750,5,5,8,6500000,False,Alto de Pinheiros
Rua Comendador Gabriel Calfat,São Paulo,554,4,7,4,2750000,False,Jardim Leonor
,São Paulo,1100,4,6,8,30000,True,Jardim Sílvia
,São Paulo,250,3,6,2,1600000,False,Santo Amaro
Rua Barbalha,São Paulo,229,3,2,2,949000,False,Alto da Lapa
Rua Alfredo Pinheiro,São Paulo,200,3,2,2,710000,False,Parque Continental
Rua Salvador Simões,São Paulo,198,3,4,3,972000,False,Vila Dom Pedro I
Rua Alexandre Teixeira,São Paulo,130,2,2,2,350000,False,Vila Euthalia
Rua Irmã Amélia,São Paulo,147,3,3,3,820000,False,Vila Prudente
Alameda dos Apetupás,São Paulo,400,4,4,4,2100000,False,Planalto Paulista
Rua Agrovila,São Paulo,178,3,3,3,1250000,False,Campo Belo
Rua Doutor José Manoel de Figueiredo Netto,São Paulo,66,4,3,1,590000,False,Santana
Avenida Piassanguaba,São Paulo,260,3,5,2,2350000,False,Planalto Paulista
,São Paulo,584,4,6,4,2950000,False,Jardim Guedala
Rua Felício Tarabai,São Paulo,215,3,3,4,6000,True,Barro Branco
Travessa Palma,de,125,2,1,1,370000,False,
,São Paulo,80,2,2,4,870000,False,Mooca
Rua Roncador,São Paulo,100,3,1,2,340000,False,Vila Corberi
Rua Douro,São Paulo,831,4,8,4,16000000,False,São Judas
,São Paulo,617,4,4,8,9500000,False,Jardim América
,São Paulo,793,4,7,6,11000,True,Interlagos
,São Paulo,180,4,2,4,1290000,False,Alto da Lapa
Rua Aquiramun,São Paulo,680,4,6,3,11700000,False,Alto de Pinheiros
,São Paulo,129,3,2,2,750000,False,Vila Gustavo
Rua Palmeira,Batuá,120,3,3,2,550000,False,
Rua Maestro Elias Lobo,São Paulo,191,3,4,1,2590000,False,Jardim Paulista
Rua Bariri,São Paulo,170,3,2,4,630000,False,Vila Carrão
Rua Fonseca da Costa,São Paulo,650,4,7,12,11000,True,Bosque da Saúde
Rua Lourenço Castanho,São Paulo,280,4,3,8,3995000,False,Vila Nova Conceição
Rua Costa Aguiar,São Paulo,220,3,4,4,1490000,False,Ipiranga
Rua dos Franceses,São Paulo,1039,6,7,20,22000000,False,Morro dos Ingleses
Rua Marechal Santos Barreto,São Paulo,101,3,4,2,600000,False,Vila Prudente
Rua Bertioga,São Paulo,140,6,3,2,7500,True,Chácara Inglesa
Rua Helena Ricceli Luchetti,São Paulo,160,3,2,2,580000,False,Parque Savoy City
,São Paulo,631,4,5,6,3500000,False,Sumaré
,São Paulo,300,4,6,4,1600000,False,Jardim Franca
Rua Dinamarca,São Paulo,600,7,7,6,10600000,False,Jardim Europa
,São Paulo,306,4,3,2,2000000,False,Pacaembu
Travessa Doutor Ezequiel Antunes de Oliveira,São Paulo,120,3,4,3,2850000,False,Vila Nova Conceição
Rua Ximbó,São Paulo,140,4,3,4,800000,False,Aclimação
Rua Chico de Paula,São Paulo,354,5,5,6,1350000,False,Nossa Senhora do Ó
Rua Gregório Lazzarini,São Paulo,120,3,3,4,380000,False,Jardim Três Marias
Rua Professor Guilherme Belfort Sabino,São Paulo,164,2,1,1,440000,False,Campininha
Rua Califórnia,São Paulo,120,4,3,2,780000,False,Cidade Monções
Rua Thomaz Antônio Villani,São Paulo,140,3,2,3,780000,False,Vila Santa Maria
Rua das Begônias,São Paulo,580,4,5,5,10000,True,Cidade Jardim
Rua Rodrigues de Campos Leite,São Paulo,135,3,4,2,799000,False,Vila Ipojuca
Rua Guaonés,São Paulo,550,4,6,6,10000,True,Jardim Guedala
Rua Nélio Batista Guimarães,São Paulo,171,3,1,4,420000,False,Parque Boturussu
,São Paulo,240,2,4,6,1800000,False,Jardim Santo Amaro
Rua Ipomeias,São Paulo,36,2,1,1,190000,False,Vila Bela
Rua Arapuã,São Paulo,180,3,3,2,559000,False,Vila Guarani
,São Paulo,160,3,4,3,799000,False,Jardim Ampliação
Rua Juvenal Galeno,São Paulo,388,4,1,7,6000,True,Jardim da Saúde
Rua Kansas,São Paulo,200,3,1,10,2240000,False,Brooklin Paulista
Rua Amâncio Klein,São Paulo,160,6,3,4,550000,False,Vila das Belezas
,São Paulo,120,3,2,1,530000,False,Vila Matilde
,São Paulo,255,3,5,3,2200000,False,Vila Ida
Rua Dorandia,São Paulo,100,4,3,4,600000,False,Jardim Brasil
Rua Baiás,São Paulo,400,3,4,4,15000,True,Boaçava
Avenida George Saville Dodd,São Paulo,770,4,1,6,7000000,False,Jardim Guedala
Rua General Vitorino Monteiro,São Paulo,450,5,5,4,2100000,False,Vila Romana
Rua São Borja,São Paulo,480,3,2,4,1060000,False,Cidade Vargas
Rua José de Freitas Guimarães,São Paulo,400,2,5,3,2150000,False,Pacaembu
,São Paulo,296,3,5,6,1800000,False,Vila Prudente
Rua Doutor Octávio de Oliveira Santos,São Paulo,200,3,4,2,1070000,False,Brooklin Paulista
,São Paulo,400,4,3,4,1800000,False,Jardim Guedala
Rua Cássio Martins Vilaça,São Paulo,288,4,5,3,2890000,False,Pacaembu
Rua Deolinda de Oliveira,São Paulo,150,3,2,2,435000,False,Vila Moraes
Rua Mateus Clemente,São Paulo,180,3,4,3,450000,False,Jardim Alvorada
Rua Doutor Martins de Oliveira,São Paulo,300,4,4,2,1290000,False,Jardim Londrina
,São Paulo,750,4,7,4,6900000,False,Jardim Guedala
Rua Teviot,São Paulo,120,2,2,2,1620000,False,Vila Nova Conceição
,São Paulo,190,3,3,2,2290000,False,Vila Nova Conceição
,São Paulo,750,4,7,4,6900000,False,Jardim Guedala
Rua Teviot,São Paulo,120,2,2,2,1620000,False,Vila Nova Conceição
,São Paulo,190,3,3,2,2290000,False,Vila Nova Conceição
Rua Professor Alfredo Ashcar,São Paulo,250,3,5,4,1200000,False,Jardim Leonor
Rua Barão de Juparanã,São Paulo,230,5,5,2,990000,False,Vila Zelina
,São Paulo,391,4,5,4,2850000,False,Vila Madalena
Rua Albertina,São Paulo,440,3,5,5,1780000,False,Tremembé
Travessa Doutor Ezequiel Antunes de Oliveira,São Paulo,170,3,5,3,2400000,False,Vila Nova Conceição
Praça Doutor João Guilherme Flocke,São Paulo,380,7,5,6,3200000,False,Vila Madalena
Rua Laurindo Sbampato,São Paulo,130,3,2,2,660000,False,Vila Guilherme
Rua Santos Dumont,São Paulo,763,5,6,4,3490000,False,Jardim Petrópolis
Rua São Leônidas,São Paulo,232,3,2,3,1000000,False,Santo Amaro
Rua Iraci,São Paulo,136,3,4,3,1800000,False,Jardim Paulistano
Rua dos Franceses,São Paulo,125,3,2,2,1150000,False,Morro dos Ingleses
Rua Madalena,São Paulo,488,4,6,3,2950000,False,Vila Madalena
Rua Murajuba,São Paulo,1530,4,6,6,9890000,False,Alto de Pinheiros
Rua Doutor Roberto Moreira,São Paulo,700,3,8,6,4000000,False,Jardim Leonor
,São Paulo,135,1,2,4,1550000,False,Alto da Lapa
Rua Doutor Fausto de Almeida Prado Penteado,São Paulo,1643,4,5,10,3800000,False,Jardim Sílvia
Rua Professora Sebastiana Silva Minhoto,São Paulo,147,2,3,3,690000,False,Tatuapé
Rua Caropá,São Paulo,192,3,3,2,1600000,False,Vila Madalena
Rua Meru,São Paulo,201,3,3,4,960000,False,Parque da Vila Prudente
Rua Mateus Martins do Prado,São Paulo,158,4,4,2,820000,False,Parque Alves de Lima
Rua Gregório Paes de Almeida,São Paulo,280,3,3,4,2500000,False,Vila Madalena
Rua dos Alcatrazes,São Paulo,1300,5,8,9,10000000,False,Chácara Flora
Rua Ovídio Lopes,São Paulo,125,2,1,1,315000,False,Parque Boturussu
Rua Lourenço de Azevedo,São Paulo,240,3,2,3,1300000,False,Vila Morse
Rua Marcos Lopes,São Paulo,200,5,5,3,3880000,False,Vila Nova Conceição
,São Paulo,300,4,5,7,950000,False,Jardim Camargo Novo
,São Paulo,150,3,2,1,795000,False,Chácara Santo Antônio
Rua Pero Correia,São Paulo,350,6,4,10,1700000,False,Vila Mariana
,São Paulo,440,4,4,2,12000,True,Jardim Santo Amaro
Rua Iramaia,São Paulo,210,4,3,3,2300000,False,Jardim Europa
,São Paulo,514,4,6,6,2800000,False,Jardim dos Estados
Rua Sampaio Vidal,São Paulo,237,3,4,3,3200000,False,Jardim Paulistano
Rua Américo Brasiliense,São Paulo,350,4,6,4,2200000,False,Alto da Boa Vista
Rua Bernardino de Campos,São Paulo,320,3,5,2,1740000,False,Campo Belo
Rua Mestre João,São Paulo,250,4,2,4,800000,False,Jardim Vila Formosa
,São Paulo,130,3,3,2,390000,False,Jardim Planalto
Avenida Comendador Adibo Ares,São Paulo,686,5,6,5,3350000,False,Morumbi
,São Paulo,300,4,6,4,1500000,False,Santana
Rua Professor Nova Gomes,São Paulo,261,3,5,2,1800000,False,Vila Madalena
,São Paulo,390,4,3,4,3500000,False,Pacaembu
Rua José Ubaldo Lomônaco,São Paulo,430,5,6,4,3150000,False,Jardim da Glória
Rua Ícaro Sydow,São Paulo,726,4,6,8,3600000,False,Cidade Jardim
,São Paulo,219,3,3,2,475000,False,Jardim Patente Novo
Praça Sílvio de Almeida,São Paulo,550,4,4,9,20000,True,Pacaembu
Rua Angatuba,São Paulo,380,3,4,2,5600000,False,Pacaembu
